FIPS,cntyname,stabb,stname,HUC2
1001,Autauga,AL,Alabama,3
1003,Baldwin,AL,Alabama,3
1005,Barbour,AL,Alabama,3
1007,Bibb,AL,Alabama,3
1009,Blount,AL,Alabama,3
1011,Bullock,AL,Alabama,3
1013,Butler,AL,Alabama,3
1015,Calhoun,AL,Alabama,3
1017,Chambers,AL,Alabama,3
1019,Cherokee,AL,Alabama,3
1021,Chilton,AL,Alabama,3
1023,Choctaw,AL,Alabama,3
1025,Clarke,AL,Alabama,3
1027,Clay,AL,Alabama,3
1029,Cleburne,AL,Alabama,3
1031,Coffee,AL,Alabama,3
1033,Colbert,AL,Alabama,6
1035,Conecuh,AL,Alabama,3
1037,Coosa,AL,Alabama,3
1039,Covington,AL,Alabama,3
1041,Crenshaw,AL,Alabama,3
1043,Cullman,AL,Alabama,3
1045,Dale,AL,Alabama,3
1047,Dallas,AL,Alabama,3
1049,DeKalb,AL,Alabama,6
1051,Elmore,AL,Alabama,3
1053,Escambia,AL,Alabama,3
1055,Etowah,AL,Alabama,3
1057,Fayette,AL,Alabama,3
1059,Franklin,AL,Alabama,6
1061,Geneva,AL,Alabama,3
1063,Greene,AL,Alabama,3
1065,Hale,AL,Alabama,3
1067,Henry,AL,Alabama,3
1069,Houston,AL,Alabama,3
1071,Jackson,AL,Alabama,6
1073,Jefferson,AL,Alabama,3
1075,Lamar,AL,Alabama,3
1077,Lauderdale,AL,Alabama,6
1079,Lawrence,AL,Alabama,6
1081,Lee,AL,Alabama,3
1083,Limestone,AL,Alabama,6
1085,Lowndes,AL,Alabama,3
1087,Macon,AL,Alabama,3
1089,Madison,AL,Alabama,6
1091,Marengo,AL,Alabama,3
1093,Marion,AL,Alabama,3
1095,Marshall,AL,Alabama,6
1097,Mobile,AL,Alabama,3
1099,Monroe,AL,Alabama,3
1101,Montgomery,AL,Alabama,3
1103,Morgan,AL,Alabama,6
1105,Perry,AL,Alabama,3
1107,Pickens,AL,Alabama,3
1109,Pike,AL,Alabama,3
1111,Randolph,AL,Alabama,3
1113,Russell,AL,Alabama,3
1115,St. Clair,AL,Alabama,3
1117,Shelby,AL,Alabama,3
1119,Sumter,AL,Alabama,3
1121,Talladega,AL,Alabama,3
1123,Tallapoosa,AL,Alabama,3
1125,Tuscaloosa,AL,Alabama,3
1127,Walker,AL,Alabama,3
1129,Washington,AL,Alabama,3
1131,Wilcox,AL,Alabama,3
1133,Winston,AL,Alabama,3
2013,Aleutians East,AK,Alaska,19
2016,Aleutians West (CA),AK,Alaska,19
2020,NA,NA,Alaska,19
2050,Bethel (CA),AK,Alaska,19
2060,Bristol Bay,AK,Alaska,19
2068,Denali,AK,Alaska,19
2070,Dillingham (CA),AK,Alaska,19
2090,Fairbanks North Star,AK,Alaska,19
2100,Haines,AK,Alaska,19
2105,Hoonah-Angoon (CA),AK,Alaska,19
2110,Juneau,AK,Alaska,19
2122,Kenai Peninsula,AK,Alaska,19
2130,Ketchikan Gateway,AK,Alaska,19
