FIPS,latit,longi,stname,ctyname,elevation
01001,32.500389,-86.494165,Alabama,Autauga,371.719172
01003,30.548923,-87.762381,Alabama,Baldwin,131.069558
01005,31.844036,-85.310038,Alabama,Barbour,332.7099844
01007,33.030921,-87.127659,Alabama,Bibb,462.3359728
01009,33.955243,-86.591491,Alabama,Blount,514.2060531999999
01011,32.116327,-85.701192,Alabama,Bullock,518.9960796
01013,31.773539,-86.65355,Alabama,Butler,318.2086716
01015,33.72546,-85.819442,Alabama,Calhoun,720.2428052
01017,32.860439,-85.266474,Alabama,Chambers,664.5669504
01019,34.179333,-85.629194,Alabama,Cherokee,577.7887324000001
01021,32.877547,-86.687406,Alabama,Chilton,618.2742979999999
01023,32.016562,-88.264164,Alabama,Choctaw,354.5931872
01025,31.685685,-87.815673,Alabama,Clarke,380.24935600000003
01027,33.272412,-85.820227,Alabama,Clay,1056.2664379999999
01029,33.62977,-85.494315,Alabama,Cleburne,890.1247004
01031,31.354433,-85.904715,Alabama,Coffee,411.9422704
01033,34.723385,-87.685151,Alabama,Colbert,505.01970120000004
01035,31.418674,-86.996483,Alabama,Conecuh,221.12861600000002
01037,32.975932,-86.155035,Alabama,Coosa,716.2729888
01039,31.282449,-86.410955,Alabama,Covington,284.8753372
01041,31.743487,-86.29708,Alabama,Crenshaw,353.2152344
01043,34.162362,-86.831859,Alabama,Cullman,750.6233836
01045,31.383346,-85.641269,Alabama,Dale,334.8425304
01047,32.408815,-87.034955,Alabama,Dallas,92.3884544
01049,34.45511,-85.817208,Alabama,DeKalb,1220.9317976
01051,32.559652,-86.225647,Alabama,Elmore,184.6456752
01053,31.088737,-87.282053,Alabama,Escambia,229.4619496
01055,34.013693,-86.025393,Alabama,Etowah,570.3084172
01057,33.726422,-87.770355,Alabama,Fayette,565.0590732
01059,34.460481,-87.793594,Alabama,Franklin,696.1614396
01061,31.09426,-85.788849,Alabama,Geneva,227.23097840000003
01063,32.830505,-87.924,Alabama,Greene,194.9803212
01065,32.775804,-87.626084,Alabama,Hale,155.2165404
01067,31.478593,-85.268828,Alabama,Henry,276.6404288
01069,31.20455,-85.391221,Alabama,Houston,291.86352639999996
01071,34.731984,-85.938698,Alabama,Jackson,620.242802
01073,33.518601,-86.814688,Alabama,Jefferson,594.0616987999999
01075,33.762769,-88.109649,Alabama,Lamar,318.733606
01077,34.866179,-87.608759,Alabama,Lauderdale,594.980334
01079,34.543683,-87.272414,Alabama,Lawrence,620.7021196
01081,32.588092,-85.345833,Alabama,Lee,703.1824372
01083,34.815612,-86.938972,Alabama,Limestone,693.6680012
01085,32.162415,-86.618688,Alabama,Lowndes,186.2860952
01087,32.425739,-85.715007,Alabama,Macon,414.33728360000003
01089,34.746392,-86.613232,Alabama,Madison,679.790048
